1,Y-Solowarm,Re-contextualized well-modulated conglomeration,2017-05-18,15
2,Job,Enhanced exuding standardization,2016-12-18,16
3,Bitwolf,Enterprise-wide radical utilisation,2017-06-15,14
4,It,Down-sized client-server structure,2016-12-04,4
5,Flexidy,Organized leading edge installation,2017-02-02,5
6,It,Phased global solution,2017-06-15,5
7,Ventosanzap,Distributed content-based process improvement,2016-10-28,7
8,Transcof,Cross-group background capability,2017-06-18,16
9,Quo Lux,Universal human-resource extranet,2016-12-20,4
10,Konklux,Switchable even-keeled superstructure,2017-04-01,17
11,Konklux,Ergonomic real-time orchestration,2017-03-08,16
12,Tin,Multi-lateral user-facing artificial intelligence,2016-10-23,20
13,Lotlux,Assimilated grid-enabled help-desk,2017-06-01,3
14,Y-find,Organic scalable parallelism,2016-11-08,11
15,Domainer,Horizontal analyzing knowledge user,2017-06-22,2
16,Y-find,Organized human-resource project,2017-05-16,2
17,Cookley,Pre-emptive mission-critical core,2017-02-22,1
18,Trippledex,Polarised 24/7 superstructure,2017-02-09,14
19,Tempsoft,Progressive global function,2016-10-24,3
20,Konklab,Customizable coherent alliance,2017-03-25,3
